id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,com.cyberpointllc.stac.sort.Sorter.quickSort,com.cyberpointllc.stac.textcrunchr.ConsoleOutputHandler.do_concludeHelper,com.cyberpointllc.stac.sort.Sorter.changingSortHelper,com.cyberpointllc.stac.textcrunchr.EnigmaProcessor.process,com.cyberpointllc.stac.textcrunchr.WordStatsProcessor.readInput,com.cyberpointllc.stac.template.TemplateEngine.replaceTagsBuilder,com.cyberpointllc.stac.sort.Sorter$SorterHelper0.getValue,com.cyberpointllc.stac.template.TemplateEngine.findTagsHelper,com.cyberpointllc.stac.host.Main.main,com.cyberpointllc.stac.textcrunchr.OutputHandlerFactory.getOutputHandler,com.cyberpointllc.stac.zipdecompression.ZipDecompressor.decompress,com.cyberpointllc.stac.textcrunchr.TextFileHandler.processFileHelper,com.cyberpointllc.stac.zipdecompression.ZipDecompressor$ZipDecompressorHelper0.getValue,com.cyberpointllc.stac.sort.Sorter.mergeHelper,com.cyberpointllc.stac.zipdecompression.ZipDecompressor.decompress_,com.cyberpointllc.stac.textcrunchr.TextMeterProcessor.process,com.cyberpointllc.stac.template.TemplateEngine.replaceTags,com.cyberpointllc.stac.textcrunchr.WordStatsProcessor.meanLen,com.cyberpointllc.stac.textcrunchr.CharacterCountProcessor.process,com.cyberpointllc.stac.textcrunchr.WordStatsProcessor.process,com.cyberpointllc.stac.textcrunchr.InputPathHandler$FileVisitor.getFilepaths,com.cyberpointllc.stac.textcrunchr.WordStatsProcessor.varLen,com.cyberpointllc.stac.sort.Sorter.merge,com.cyberpointllc.stac.textcrunchr.TextFileHandler.processFile,com.cyberpointllc.stac.zipdecompression.ZipDecompressor.processFlatFile,com.cyberpointllc.stac.host.Main.mainHelper,com.cyberpointllc.stac.zipdecompression.ZipDecompressor.randString,com.cyberpointllc.stac.textcrunchr.ConsoleOutputHandler.do_conclude,com.cyberpointllc.stac.textcrunchr.InputPathHandler$FileVisitor.visitFile,com.cyberpointllc.stac.textcrunchr.WordStatsProcessor.longest,com.cyberpointllc.stac.template.TemplateEngine.findTags,com.cyberpointllc.stac.textcrunchr.InputPathHandler.handleInputPath,com.cyberpointllc.stac.sort.Sorter.sort,com.cyberpointllc.stac.sort.Sorter.changingSort,com.cyberpointllc.stac.sort.Sorter.quickSortHelper,com.cyberpointllc.stac.textcrunchr.WordStatsProcessor.tokenize,com.cyberpointllc.stac.template.TemplateEngine.replaceTagsBuilderHelper,com.cyberpointllc.stac.sort.Sorter.qsPartition
1,1525,1643,1606,1577,1613,1458,1462,1498,1435,1496,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
2,1622,1574,1541,1433,1445,1551,1527,1388,1519,1621,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
3,5427,5451,5412,5516,5538,5679,5899,5961,5467,5345,2,1,246722,1,1,5,15210,10,1,1,1,1,1,30419,1,1,5,1,1,1,1,1,30419,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20384
4,1485,1564,1599,1612,1518,1611,1459,1563,1520,1509,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
5,1467,1549,1621,1617,1627,1487,1465,1501,1573,1607,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
6,5793,5633,6026,6556,5795,5660,5412,6591,6046,5549,2,1,246722,1,1,5,15548,10,1,1,1,1,1,31095,1,1,5,1,1,1,1,1,31095,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20656
7,6317,5418,5405,5327,5387,5345,5404,6504,6784,6559,2,1,246722,1,1,5,15886,10,1,1,1,1,1,31771,1,1,5,1,1,1,1,1,31771,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21168
8,1558,1574,1528,1581,1522,1535,1500,1525,1503,1544,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
9,5653,5756,5606,5666,5623,5572,5555,5768,5739,5821,2,1,246722,1,1,5,16224,10,1,1,1,1,1,32447,1,1,5,1,1,1,1,1,32447,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21634
10,6064,6578,6445,6306,6348,6358,6062,6092,6109,6036,2,1,253037,1,1,5,33124,10,1,1,1,1,1,33123,1,1,5,1,1,1,1,1,33123,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22144
11,6225,6137,6205,6165,6223,6099,5960,6063,5930,5849,2,1,263177,1,1,5,33800,10,1,1,1,1,1,33799,1,1,5,1,1,1,1,1,33799,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22608
12,6272,6328,6101,6198,6378,6244,6523,7168,6341,6776,2,1,273317,1,1,5,34476,10,1,1,1,1,1,34475,1,1,5,1,1,1,1,1,34475,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22892
13,7683,6630,6476,6210,6386,6151,6112,5925,5910,5959,2,1,283457,1,1,5,35152,10,1,1,1,1,1,35151,1,1,5,1,1,1,1,1,35151,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23480
14,5407,5854,5310,5297,5330,5426,5295,5515,5451,5343,2,1,246722,1,1,5,15548,10,1,1,1,1,1,31095,1,1,5,1,1,1,1,1,31095,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20656
15,5526,5390,5353,5377,5481,5350,5340,5403,5291,5324,2,1,246722,1,1,5,15886,10,1,1,1,1,1,31771,1,1,5,1,1,1,1,1,31771,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21168
16,1459,1461,1475,1453,1526,1452,1517,1475,1412,1512,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
17,5585,5550,5600,5472,5404,5428,5501,5491,5473,5459,2,1,246722,1,1,5,16224,10,1,1,1,1,1,32447,1,1,5,1,1,1,1,1,32447,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21634
18,5673,5547,5557,5545,5635,5677,5652,5556,5588,5800,2,1,253037,1,1,5,33124,10,1,1,1,1,1,33123,1,1,5,1,1,1,1,1,33123,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22144
19,5720,5713,5799,5655,5689,5857,5892,6011,5693,5708,2,1,263177,1,1,5,33800,10,1,1,1,1,1,33799,1,1,5,1,1,1,1,1,33799,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22608
20,5813,5821,5781,5829,5839,5895,5741,5791,5831,5732,2,1,273317,1,1,5,34476,10,1,1,1,1,1,34475,1,1,5,1,1,1,1,1,34475,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22892
21,5952,5937,6024,6012,5926,5969,6008,6010,6521,6718,2,1,283457,1,1,5,35152,10,1,1,1,1,1,35151,1,1,5,1,1,1,1,1,35151,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23480
22,1003911,948264,952775,953566,953254,953482,951744,949922,954478,949446,2,1,247697,1,1,5,16384,10,1,1,1,1,1,32767,1,1,5,1,1,1,1,1,32767,1,1,1,1,1,2,1,5,1,2,2,2,1,5,32767
23,5973,5825,5989,5920,6007,5858,5859,5941,5813,5779,2,1,283457,1,1,5,35152,10,1,1,1,1,1,35151,1,1,5,1,1,1,1,1,35151,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23480
24,5775,5646,5854,5866,5667,5708,5757,5582,5739,5787,2,1,274097,1,1,5,34528,10,1,1,1,1,1,34527,1,1,5,1,1,1,1,1,34527,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23084
25,5779,5922,5889,5764,5823,5756,5752,5683,5894,5747,2,1,274487,1,1,5,34555,10,1,1,1,1,1,34553,1,1,5,1,1,1,1,1,34553,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23192
26,5800,5768,5636,5867,5804,5792,5994,5730,5792,5857,2,1,274877,1,1,5,34580,10,1,1,1,1,1,34579,1,1,5,1,1,1,1,1,34579,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22968
27,5742,5769,5863,5841,5883,5763,5752,5979,5705,5881,2,1,275267,1,1,5,34607,10,1,1,1,1,1,34605,1,1,5,1,1,1,1,1,34605,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23100
28,5723,5794,5802,5758,5928,5826,5767,5737,5795,5805,2,1,275657,1,1,5,34632,10,1,1,1,1,1,34631,1,1,5,1,1,1,1,1,34631,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23176
29,5786,5827,5675,5808,5731,5829,5777,6056,5784,5778,2,1,276047,1,1,5,34659,10,1,1,1,1,1,34657,1,1,5,1,1,1,1,1,34657,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23152
30,1443,1456,1540,1527,1441,1496,1436,1428,1443,1430,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
31,5874,5915,5603,5968,5792,5742,5883,5772,5842,5943,2,1,247712,1,1,5,24578,10,1,1,1,1,1,32768,1,1,5,1,1,1,1,1,32768,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22088
32,1441,1456,1448,1489,1433,1487,1523,1442,1463,1498,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
33,954564,967195,1005598,1028041,1037609,1056405,1051702,1028269,1075508,1025428,2,1,247697,1,1,5,16384,10,1,1,1,1,1,32767,1,1,5,1,1,1,1,1,32767,1,1,1,1,1,2,1,5,1,2,2,2,1,5,32767
34,6346,6294,6079,6429,6321,6085,6027,6432,6675,6599,2,1,276437,1,1,5,34684,10,1,1,1,1,1,34683,1,1,5,1,1,1,1,1,34683,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23160
35,6340,6029,6009,6030,6025,6073,6127,6438,6698,6068,2,1,276827,1,1,5,34711,10,1,1,1,1,1,34709,1,1,5,1,1,1,1,1,34709,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23210
36,6024,6223,5977,6028,6011,5929,6010,6002,5958,5974,2,1,277217,1,1,5,34736,10,1,1,1,1,1,34735,1,1,5,1,1,1,1,1,34735,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23212
37,5959,6174,6112,6008,6008,5987,5997,6035,6017,6192,2,1,277607,1,1,5,34763,10,1,1,1,1,1,34761,1,1,5,1,1,1,1,1,34761,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23256
38,6155,6064,6077,6046,6028,5999,5995,6085,6014,6075,2,1,277997,1,1,5,34788,10,1,1,1,1,1,34787,1,1,5,1,1,1,1,1,34787,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23216
39,6361,6262,6085,6130,6154,6388,6434,6497,6232,6608,2,1,278387,1,1,5,34815,10,1,1,1,1,1,34813,1,1,5,1,1,1,1,1,34813,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23338
40,6159,6158,6122,6175,6102,6008,6044,5942,6081,6145,2,1,278777,1,1,5,34840,10,1,1,1,1,1,34839,1,1,5,1,1,1,1,1,34839,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23264
41,6029,6025,6082,6016,6073,6062,6195,6080,5908,6115,2,1,279167,1,1,5,34867,10,1,1,1,1,1,34865,1,1,5,1,1,1,1,1,34865,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23390
42,6252,6188,6132,6093,5996,5998,6672,6253,6345,6434,2,1,279557,1,1,5,34892,10,1,1,1,1,1,34891,1,1,5,1,1,1,1,1,34891,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23268
43,1031601,1016241,1025026,1017806,1031998,1068251,976596,1025726,981136,948573,2,1,247697,1,1,5,16384,10,1,1,1,1,1,32767,1,1,5,1,1,1,1,1,32767,1,1,1,1,1,2,1,5,1,2,2,2,1,5,32767
44,5711,5820,5873,5776,5840,5787,5804,5905,5851,5913,2,1,279947,1,1,5,34919,10,1,1,1,1,1,34917,1,1,5,1,1,1,1,1,34917,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23222
45,5864,5735,5844,5811,5800,5856,5838,5811,5708,5719,2,1,280337,1,1,5,34944,10,1,1,1,1,1,34943,1,1,5,1,1,1,1,1,34943,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23364
46,945283,945679,944740,950436,944698,950475,944711,946429,947426,948349,2,1,247697,1,1,5,16384,10,1,1,1,1,1,32767,1,1,5,1,1,1,1,1,32767,1,1,1,1,1,2,1,5,1,2,2,2,1,5,32767
47,5724,5712,5756,5776,5750,6480,5789,5868,5921,5696,2,1,280727,1,1,5,34971,10,1,1,1,1,1,34969,1,1,5,1,1,1,1,1,34969,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23382
48,5841,5884,5753,5754,5719,6248,5730,5727,5846,5780,2,1,281117,1,1,5,34996,10,1,1,1,1,1,34995,1,1,5,1,1,1,1,1,34995,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23356
49,5772,5804,5758,5680,5997,5752,5897,5748,5813,5945,2,1,281507,1,1,5,35023,10,1,1,1,1,1,35021,1,1,5,1,1,1,1,1,35021,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23358
50,5801,5885,5791,5951,5856,5679,5918,5831,5749,5862,2,1,281897,1,1,5,35048,10,1,1,1,1,1,35047,1,1,5,1,1,1,1,1,35047,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23476
51,5834,5883,5953,5848,5881,6050,5873,5793,5873,5860,2,1,282287,1,1,5,35075,10,1,1,1,1,1,35073,1,1,5,1,1,1,1,1,35073,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23300
52,948704,943254,942708,953276,947195,950064,947577,950214,948415,950832,2,1,247697,1,1,5,16384,10,1,1,1,1,1,32767,1,1,5,1,1,1,1,1,32767,1,1,1,1,1,2,1,5,1,2,2,2,1,5,32767
53,5977,5788,5662,5713,5899,5813,5893,5870,5689,5856,2,1,282677,1,1,5,35100,10,1,1,1,1,1,35099,1,1,5,1,1,1,1,1,35099,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23480
54,5848,5835,5946,5809,5805,5683,5951,5910,6388,5929,2,1,283067,1,1,5,35127,10,1,1,1,1,1,35125,1,1,5,1,1,1,1,1,35125,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23508
55,1499,1432,1469,1461,1356,1426,1405,1413,1460,1514,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
56,946648,948082,955171,946620,949112,945776,949800,947293,944148,948786,2,1,247697,1,1,5,16384,10,1,1,1,1,1,32767,1,1,5,1,1,1,1,1,32767,1,1,1,1,1,2,1,5,1,2,2,2,1,5,32767
57,5917,5879,5928,5850,5903,5879,5765,5887,5810,6282,2,1,283457,1,1,5,35152,10,1,1,1,1,1,35151,1,1,5,1,1,1,1,1,35151,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23480
58,5975,5922,5828,5959,5965,6548,5813,5856,5809,6032,2,1,283457,1,1,5,35152,10,1,1,1,1,1,35151,1,1,5,1,1,1,1,1,35151,1,1,1,1,1,2,1,5,1,2,2,2,1,5,23480
59,4835,4841,4824,4895,4790,4874,4692,4848,4823,4895,2,1,246722,1,1,5,18986,10,1,1,1,1,1,29864,1,1,5,1,1,1,1,1,29864,1,1,1,1,1,2,1,5,1,2,2,2,1,5,19833
60,4807,4762,4902,4777,4822,4861,4867,4718,4808,4835,2,1,246722,1,1,5,29853,10,1,1,1,1,1,30053,1,1,5,1,1,1,1,1,30053,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20005
61,4871,4750,4810,4754,4896,4945,4731,4848,4880,4933,2,1,246722,1,1,5,19448,10,1,1,1,1,1,30119,1,1,5,1,1,1,1,1,30119,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20132
62,4873,4799,4947,4929,4938,4975,4832,4920,5012,4851,2,1,246722,1,1,5,19122,10,1,1,1,1,1,30317,1,1,5,1,1,1,1,1,30317,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20163
63,4837,5002,4858,4946,4812,4853,4932,5010,4863,4773,2,1,246722,1,1,5,23835,10,1,1,1,1,1,30516,1,1,5,1,1,1,1,1,30516,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20390
64,1403,1405,1476,1411,1351,1427,1388,1508,1499,1471,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
65,1609,1423,1423,1386,1539,1482,1576,1409,1418,1434,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
66,4914,4859,4951,5024,4905,5003,4906,4915,4970,4993,2,1,246722,1,1,5,17061,10,1,1,1,1,1,30594,1,1,5,1,1,1,1,1,30594,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20388
67,4975,4949,5069,4946,4911,4955,5088,5040,4981,5050,2,1,246722,1,1,5,15798,10,1,1,1,1,1,30675,1,1,5,1,1,1,1,1,30675,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20458
68,5050,4927,4934,4877,4985,4910,4883,4879,4982,4998,2,1,246722,1,1,5,17354,10,1,1,1,1,1,30887,1,1,5,1,1,1,1,1,30887,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20568
69,4948,4879,5088,5073,4946,5005,5050,4964,5009,4946,2,1,246722,1,1,5,22732,10,1,1,1,1,1,31001,1,1,5,1,1,1,1,1,31001,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20669
70,944463,948413,943756,947975,2434278,995189,981866,969673,1020547,1011320,2,1,247697,1,1,5,16384,10,1,1,1,1,1,32767,1,1,5,1,1,1,1,1,32767,1,1,1,1,1,2,1,5,1,2,2,2,1,5,32767
71,5098,5084,5053,5053,5065,5034,5274,5182,5082,5006,2,1,246722,1,1,5,17093,10,1,1,1,1,1,31103,1,1,5,1,1,1,1,1,31103,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20721
72,5242,5027,5007,4938,5004,5006,5087,5209,5066,5796,2,1,246722,1,1,5,23442,10,1,1,1,1,1,31277,1,1,5,1,1,1,1,1,31277,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20860
73,5322,5065,5152,5123,5661,4991,5209,5293,5316,5245,2,1,246722,1,1,5,23913,10,1,1,1,1,1,31384,1,1,5,1,1,1,1,1,31384,1,1,1,1,1,2,1,5,1,2,2,2,1,5,20916
74,5167,5325,5228,5363,5317,5384,5155,5189,5215,5198,2,1,246722,1,1,5,18901,10,1,1,1,1,1,31541,1,1,5,1,1,1,1,1,31541,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21015
75,1524,1531,1550,1559,1538,1504,1479,1587,1517,1548,2,1,2,1,1,5,0,10,1,1,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,1,2,1,5,1,2,2,2,1,5,0
76,1033032,1064054,1068483,1063505,1198065,1058040,1089422,1080073,1058516,1068864,2,1,247697,1,1,5,16384,10,1,1,1,1,1,32767,1,1,5,1,1,1,1,1,32767,1,1,1,1,1,2,1,5,1,2,2,2,1,5,32767
77,5581,5568,5544,5562,5542,5586,5602,5624,5524,5627,2,1,246722,1,1,5,21452,10,1,1,1,1,1,31697,1,1,5,1,1,1,1,1,31697,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21153
78,5486,5510,5567,5617,5554,5594,5632,5620,5520,5533,2,1,246722,1,1,5,24877,10,1,1,1,1,1,31845,1,1,5,1,1,1,1,1,31845,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21230
79,5469,5534,5506,5733,5515,5505,5455,5451,5567,5496,2,1,246722,1,1,5,21573,10,1,1,1,1,1,31933,1,1,5,1,1,1,1,1,31933,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21286
80,5754,5591,5502,5466,5615,5533,5589,5570,5581,5512,2,1,246722,1,1,5,23793,10,1,1,1,1,1,32093,1,1,5,1,1,1,1,1,32093,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21347
81,5594,5625,5849,6043,5909,7044,5551,5784,5677,6696,2,1,246722,1,1,5,24791,10,1,1,1,1,1,32262,1,1,5,1,1,1,1,1,32262,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21503
82,5930,6110,5874,5805,5829,5760,5754,5591,5502,5466,2,1,246722,1,1,5,20946,10,1,1,1,1,1,32402,1,1,5,1,1,1,1,1,32402,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21600
85,5322,5281,5132,5789,6070,5518,6047,5555,5468,6142,2,1,247682,1,1,5,30678,10,1,1,1,1,1,32713,1,1,5,1,1,1,1,1,32713,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21786
86,5614,5743,5362,5370,5274,5360,5362,5362,5173,5267,2,1,248027,1,1,5,43819,10,1,1,1,1,1,32789,1,1,5,1,1,1,1,1,32789,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21819
87,5509,5486,5312,5444,5756,5337,5341,5560,5428,5727,2,1,249752,1,1,5,41582,10,1,1,1,1,1,32904,1,1,5,1,1,1,1,1,32904,1,1,1,1,1,2,1,5,1,2,2,2,1,5,21929
88,5324,5340,5639,5758,5750,5648,5514,5257,5399,5278,2,1,253487,1,1,5,53992,10,1,1,1,1,1,33153,1,1,5,1,1,1,1,1,33153,1,1,1,1,1,2,1,5,1,2,2,2,1,5,22063
